"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861560495368741261","Tue Nov 26 23:59:42 +0000 2024","0","Untuk @KominfoJatim mudah mudahan darah baru energik @lulukhamidah yang menang untuk @Jateng_Twit mudah mudahan Andika yang menang untuk @humasjabar mudah mudahan @DediMulyadi71 yang menang untuk @DKIJakarta mudah mudahan @ridwankamil yang menang....","1861560495368741261","","","in","","0","0","0","https://x.com/HimawanIma85713/status/1861560495368741261","1779573150562627584","HimawanIma85713"
"1861266131153232384","Tue Nov 26 23:56:23 +0000 2024","0","@TeddGus @prabowo @ridwankamil anak fufufafa","1861559660266049595","","TeddGus","in","","0","0","0","https://x.com/KomendrNetizen/status/1861559660266049595","1152492672","KomendrNetizen"
"1860942154086191530","Tue Nov 26 23:52:49 +0000 2024","0","@jansen_jsp @ridwankamil Top lah ... Jangan ragukan komitmen PKS Indonesia banget dah!","1861558762911473701","","jansen_jsp","in","","0","0","0","https://x.com/IwanbaruSyah/status/1861558762911473701","1760051819148185600","IwanbaruSyah"
"1861557498131485159","Tue Nov 26 23:47:48 +0000 2024","0","Kalau nyarik kerja di daerahnya masing masing jangan lompat provinsi @ridwankamil","1861557498131485159","","","in","","0","0","0","https://x.com/Firzafrnanda/status/1861557498131485159","161837801","Firzafrnanda"
"1861266131153232384","Tue Nov 26 23:45:56 +0000 2024","0","@TeddGus @prabowo @ridwankamil ANJING tetaplah ANJING apapun wujud Dan statusnya ","1861557030085108107","","TeddGus","in","Jakarta, Bandung..Indonesia","0","0","0","https://x.com/Mully_Yana/status/1861557030085108107","101642311","Mully_Yana"
"1861556918055248148","Tue Nov 26 23:45:29 +0000 2024","0","Pak @ridwankamil klo mau menggunakan hak pilih sebaiknya diwaktu² terakhir pencoblosan saja karena sudah pasti akan di blowup media dan di framing ut dijadikan berita mempengaruhi pemilih di jakarta","1861556918055248148","","","in","BÜITÉNZÖRG","0","0","0","https://x.com/yusufyudaka/status/1861556918055248148","2202937237","yusufyudaka"
"1860942154086191530","Tue Nov 26 23:45:24 +0000 2024","0","@jansen_jsp @ridwankamil Fitnah sekarang kok bila ng minoritas sudah kuno kita itu sama","1861556894017761424","","jansen_jsp","in","","0","0","0","https://x.com/wiryosupanto/status/1861556894017761424","1523153357107757056","wiryosupanto"
"1860942154086191530","Tue Nov 26 23:43:40 +0000 2024","0","@burhan_leg41727 @Karinbahary2 @jansen_jsp @ridwankamil sengaak loe","1861556460607492368","","burhan_leg41727","in","somewhere | be there","0","0","0","https://x.com/arramia/status/1861556460607492368","85431211","arramia"
"1860942154086191530","Tue Nov 26 23:42:55 +0000 2024","0","@AumMuharam @jansen_jsp @ridwankamil Sudah ada skenario","1861556269930422680","","AumMuharam","in","","0","0","0","https://x.com/Khalilurra76753/status/1861556269930422680","1851828336101855233","Khalilurra76753"
"1860942154086191530","Tue Nov 26 23:42:22 +0000 2024","1","@jansen_jsp @ridwankamil percuma lae.. biarkan pemilih major minor pake naluri nalar dan feeling masing² ... mungkin lae betul tp apa jujur? semua ada kepentinganlah.. yg kasih saran orang parpol pulak","1861556133422649651","","jansen_jsp","in","somewhere | be there","0","0","0","https://x.com/arramia/status/1861556133422649651","85431211","arramia"
"1861266131153232384","Tue Nov 26 23:42:09 +0000 2024","0","@TeddGus @prabowo @ridwankamil Ngga akan ada yg sudi memilih partai pengurusnya penjilat pantat Tedd jadi boneka dan keset sdh takdir kok","1861556079043453350","","TeddGus","in","","0","0","0","https://x.com/SilversterBudi/status/1861556079043453350","1603598306239619073","SilversterBudi"
"1861266131153232384","Tue Nov 26 23:40:08 +0000 2024","0","@TeddGus @prabowo @ridwankamil Pada waktu menulis surat himbauan sebagai DP Gerindra khan nggak dikawal Pempres jadi ngga apa2 khan seperti hari libur hanya sebagai oknum khan. Jadi ngga apa2lah saat2 itu bertindak sbg anggora solo si mul juga ngga ada yg salah singa asia bisa jadi puss meong kok","1861555569930481793","","TeddGus","in","","0","0","0","https://x.com/SilversterBudi/status/1861555569930481793","1603598306239619073","SilversterBudi"
"1860942154086191530","Tue Nov 26 23:38:22 +0000 2024","0","@Karinbahary2 @jansen_jsp @ridwankamil Masalah wat lo","1861555126286287214","","Karinbahary2","in","","0","1","0","https://x.com/burhan_leg41727/status/1861555126286287214","1818143525630070784","burhan_leg41727"
